original	converted	r1_clipping	r1_brightness	r1_hue	r2_clipping	r2_brightness	r2_hue	rae_unint	rmse_unint	rmae_unint	rpae_unint	ssim_h_int	ssim_s_int	ssim_v_int	rae_int	rmse_int
originals/D300_PN_DSC_5147_.NEF	converted_AdobeDNC/D300_PN_DSC_5147_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9946435	0.9960791	0.9994948	0.7941212	1.1510706E-006
originals/D300_PN_DSC_5358_.NEF	converted_AdobeDNC/D300_PN_DSC_5358_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.99824303	0.99591035	0.999684	0.9137145	1.2261248E-006
originals/D300_PN_DSC_5449_.NEF	converted_AdobeDNC/D300_PN_DSC_5449_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.99785924	0.9956883	0.99929816	0.99776614	3.3159004E-006
originals/D300_PN_DSC_5574_.NEF	converted_AdobeDNC/D300_PN_DSC_5574_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9994793	0.9970271	0.9997436	0.74666977	1.373118E-006
originals/D300_PN_DSC_6926_.NEF	converted_AdobeDNC/D300_PN_DSC_6926_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9976974	0.99216074	0.9987921	0.8508745	1.06577745E-005
originals/D300_PN_DSC_7484_.NEF	converted_AdobeDNC/D300_PN_DSC_7484_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.99732155	0.9943853	0.9996269	0.883052	7.832778E-006
originals/D300_PN_DSC_7589_.NEF	converted_AdobeDNC/D300_PN_DSC_7589_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.99795496	0.9949565	0.99941117	0.9507419	1.0278614E-005
originals/D300_PN_DSC_8921_.NEF	converted_AdobeDNC/D300_PN_DSC_8921_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.99909663	0.9944582	0.9995965	0.64852494	2.5642437E-006
originals/D300_PN_DSC_8937_.NEF	converted_AdobeDNC/D300_PN_DSC_8937_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9956295	0.98874503	0.99870783	0.84806085	2.0768834E-006
originals/D300_PN_DSC_9062_.NEF	converted_AdobeDNC/D300_PN_DSC_9062_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9974423	0.9921921	0.999312	0.71825063	3.7551524E-006
