original	converted	r1_clipping	r1_brightness	r1_hue	r2_clipping	r2_brightness	r2_hue	rae_unint	rmse_unint	rmae_unint	rpae_unint	ssim_h_int	ssim_s_int	ssim_v_int	rae_int	rmse_int
originals/D300_PN_DSC_8937_.NEF	converted_DxO/D300_PN_DSC_8937_DxO.dng	2	2	3	2	3	3					0.68945163	0.37802902	0.82167125		
originals/D300_PN_DSC_9062_.NEF	converted_DxO/D300_PN_DSC_9062_DxO.dng	2	2	2	2	3	3					0.7429716	0.3548294	0.73725075		
originals/D300_PN_DSC_9164_.NEF	converted_DxO/D300_PN_DSC_9164_DxO.dng	3	2	3	3	2	3					0.69252634	0.4406426	0.8280801		
originals/D700_CMK_1449_.NEF	converted_DxO/D700_CMK_1449_DxO.dng	2	2	3	2	2	3					0.8905588	0.43496943	0.3002161		
originals/D700_CMK_1455_.NEF	converted_DxO/D700_CMK_1455_DxO.dng	2	3	3	2	3	3					0.74331087	0.36471263	0.38107184		
originals/D700_CMK_1476_.NEF	converted_DxO/D700_CMK_1476_DxO.dng	2	3	2	2	2	3					0.6671907	0.5741873	0.66501164		
originals/D700_KPIC_1_.NEF	converted_DxO/D700_KPIC_1_DxO.dng	2	2	3	2	3	3					0.920472	0.55289763	0.86898816		
originals/D700_KPIC_2_.NEF	converted_DxO/D700_KPIC_2_DxO.dng	2	3	2	2	2	3					0.97778326	0.3261349	0.2886331		
originals/D700_KPIC_3_.NEF	converted_DxO/D700_KPIC_3_DxO.dng	2	3	2	1	2	3					0.5694674	0.41801867	0.8006077		
originals/D700_PN_DSC_0143_.NEF	converted_DxO/D700_PN_DSC_0143_DxO.dng	2	2	2	2	3	3					0.86027133	0.46469733	0.71749926		
originals/D700_PN_DSC_0302_.NEF	converted_DxO/D700_PN_DSC_0302_DxO.dng	2	2	2	2	2	2					0.913515	0.7953733	0.92329884		
originals/D700_PN_DSC_0364_.NEF	converted_DxO/D700_PN_DSC_0364_DxO.dng	2	2	2	2	3	3					0.88456035	0.7971797	0.9391414		
originals/D700_PN_DSC_0443_.NEF	converted_DxO/D700_PN_DSC_0443_DxO.dng	2	2	3	2	2	3					0.851004	0.45058796	0.5034266		
originals/D700_PN_DSC_0570_.NEF	converted_DxO/D700_PN_DSC_0570_DxO.dng	2	2	3	3	1	3					0.8006898	0.4938873	0.8065252		
originals/D700_PN_DSC_1220_.NEF	converted_DxO/D700_PN_DSC_1220_DxO.dng	2	2	2	2	2	3					0.848075	0.31945392	0.6975395		
originals/D700_PN_DSC_1316_.NEF	converted_DxO/D700_PN_DSC_1316_DxO.dng	2	2	3	2	3	3					0.5659505	0.22554667	0.4858158		
originals/D700_PN_DSC_1348_.NEF	converted_DxO/D700_PN_DSC_1348_DxO.dng	2	2	3	2	2	3					0.6735344	0.25060704	0.4733546		
originals/D700_PN_DSC_1353_.NEF	converted_DxO/D700_PN_DSC_1353_DxO.dng	2	2	3	2	2	3					0.70909125	0.2692889	0.50452894		
originals/D700_PN_DSC_2109_.NEF	converted_DxO/D700_PN_DSC_2109_DxO.dng	2	2	3	1	3	3					0.8096566	0.556873	0.84629923		
originals/D700_PN_DSC_2261_.NEF	converted_DxO/D700_PN_DSC_2261_DxO.dng	2	2	3	2	2	3					0.82285804	0.66532534	0.8421512		
originals/D700_PN_DSC_2552_.NEF	converted_DxO/D700_PN_DSC_2552_DxO.dng	2	2	3	2	3	3					0.83870035	0.7509627	0.9506886		
originals/D700_PN_DSC_3021_.NEF	converted_DxO/D700_PN_DSC_3021_DxO.dng	2	3	3	2	2	3					0.79929435	0.8140414	0.8900626		
originals/D700_PN_DSC_3032_.NEF	converted_DxO/D700_PN_DSC_3032_DxO.dng	2	2	3	2	2	3					0.995682	0.688686	0.8329094		
originals/D700_PN_DSC_3735_.NEF	converted_DxO/D700_PN_DSC_3735_DxO.dng	2	2	2	2	2	3					0.80591357	0.5608133	0.7432264		
originals/D700_PN_DSC_3748_.NEF	converted_DxO/D700_PN_DSC_3748_DxO.dng	3	3	2	3	2	3					0.8399616	0.51563615	0.60458934		
originals/D700_PN_DSC_3825_.NEF	converted_DxO/D700_PN_DSC_3825_DxO.dng	3	2	3	3	2	3					0.78333586	0.5621147	0.9073438		
originals/D700_PN_DSC_3872_.NEF	converted_DxO/D700_PN_DSC_3872_DxO.dng	2	2	2	2	2	3					0.6108584	0.37488642	0.6933626		
originals/D700_PN_DSC_4115_.NEF	converted_DxO/D700_PN_DSC_4115_DxO.dng	2	2	3	2	2	3					0.78660583	0.5643403	0.6853073		
originals/D700_PN_DSC_4148_.NEF	converted_DxO/D700_PN_DSC_4148_DxO.dng	2	2	2	2	2	3					0.77284425	0.43884397	0.6071008		
originals/D700_PN_DSC_4176_.NEF	converted_DxO/D700_PN_DSC_4176_DxO.dng	2	2	3	3	2	3					0.85767937	0.54793024	0.6609261		
originals/D700_PN_DSC_4219_.NEF	converted_DxO/D700_PN_DSC_4219_DxO.dng	2	2	3	2	2	3					0.8828767	0.60701674	0.7266559		
originals/D700_PN_DSC_4406_.NEF	converted_DxO/D700_PN_DSC_4406_DxO.dng	2	2	3	2	3	3					0.897918	0.44286066	0.5617415		
